id,root_word,target_word,meaning,sentence_en,sentence_ko,level,chapter,source,pos,total_try,total_wrong,last_level_update
1,study,studies,공부하다,She studies English every morning.,그녀는 매일 아침 영어를 공부한다.,1,3인칭단수,Basic,,0,0,2026-02-01
2,go,went,가다,We went to the park yesterday.,우리는 어제 공원에 갔다.,1,과거시제,Basic,,0,0,2026-02-01
3,child,children,아이,Many children are playing in the park.,많은 아이들이 공원에서 놀고 있다.,1,복수형,Basic,,0,0,2026-02-01
4,agree,agreed,동의하다,We all agreed on the plan.,우리 모두 그 계획에 동의했다.,1,3단원,Expanded by AI,,0,0,2026-02-01
5,appear,appeared,나타나다,A rainbow appeared in the sky.,하늘에 무지개가 나타났다.,1,1단원,Expanded by AI,,0,0,2026-02-01
6,believe,believes,믿다,He believes that anything is possible.,그는 무엇이든 가능하다고 믿는다.,1,명사절,Expanded by AI,,0,0,2026-02-01
7,borrow,borrowed,빌리다,I borrowed a book from the library.,나는 도서관에서 책을 빌렸다.,1,과거시제,Expanded by AI,,0,0,2026-02-01
8,careful,careful,조심스러운,Be careful when you cross the street.,길을 건널 때 조심해라.,1,형용사,Expanded by AI,,0,0,2026-02-01
9,collect,collects,모으다,My brother collects old coins.,내 남동생은 옛날 동전들을 모은다.,1,3인칭단수,Expanded by AI,,0,0,2026-02-01
10,discover,discovered,발견하다,Columbus discovered America in 1492.,콜럼버스는 1492년에 아메리카를 발견했다.,1,역사,Expanded by AI,,0,0,2026-02-01
11,dream,dreaming,꿈꾸다,I am dreaming of a white Christmas.,나는 화이트 크리스마스를 꿈꾸고 있다.,1,진행형,Expanded by AI,,0,0,2026-02-01
12,enjoy,enjoyed,즐기다,We enjoyed the concert very much.,우리는 그 콘서트를 매우 즐겼다.,1,과거시제,Expanded by AI,,0,0,2026-02-01
13,feel,feels,느끼다,He feels happy today.,그는 오늘 행복하다고 느낀다.,1,감각동사,Expanded by AI,,0,0,2026-02-01
14,follow,followed,따라가다,The dog followed its owner.,그 개는 주인을 따라갔다.,1,과거시제,Expanded by AI,,0,0,2026-02-01
15,forget,forgot,잊다,I forgot to bring my umbrella.,나는 우산을 가져오는 것을 잊었다.,1,to부정사,Expanded by AI,,0,0,2026-02-01
16,happen,happened,일어나다,What happened to your arm?,네 팔에 무슨 일이 일어났니?,1,의문문,Expanded by AI,,0,0,2026-02-01
17,healthy,healthy,건강한,Eating vegetables is a healthy habit.,채소를 먹는 것은 건강한 습관이다.,1,형용사,Expanded by AI,,0,0,2026-02-01
18,help,helps,돕다,Exercise helps you stay fit.,운동은 당신이 건강을 유지하도록 돕는다.,1,사역동사,Expanded by AI,,0,0,2026-02-01
19,hope,hope,바라다,I hope to see you again soon.,곧 당신을 다시 보길 바랍니다.,1,to부정사,Expanded by AI,,0,0,2026-02-01
20,introduce,introduce,소개하다,Let me introduce myself.,제 소개를 하겠습니다.,1,재귀대명사,Expanded by AI,,0,0,2026-02-01
21,invite,invited,초대하다,I invited them to my party.,나는 그들을 내 파티에 초대했다.,1,과거시제,Expanded by AI,,0,0,2026-02-01
22,join,joined,가입하다,He joined the soccer club.,그는 축구 동아리에 가입했다.,1,과거시제,Expanded by AI,,0,0,2026-02-01
23,laugh,laughed,웃다,Everyone laughed at the joke.,모두가 그 농담을 보고 웃었다.,1,과거시제,Expanded by AI,,0,0,2026-02-01
24,learn,learning,배우다,Learning a new language is fun.,새로운 언어를 배우는 것은 재미있다.,1,동명사,Expanded by AI,,0,0,2026-02-01
25,leave,leaves,떠나다,The bus leaves at 8 o'clock.,버스는 8시에 떠난다.,1,3인칭단수,Expanded by AI,,0,0,2026-02-01
26,listen,listening,듣다,She likes listening to music.,그녀는 음악 듣는 것을 좋아한다.,1,동명사,Expanded by AI,,0,0,2026-02-01
27,mistake,mistake,실수,Don't be afraid of making a mistake.,실수하는 것을 두려워하지 마라.,1,명사,Expanded by AI,,0,0,2026-02-01
28,move,moved,움직이다,They moved to a new house last week.,그들은 지난주에 새 집으로 이사했다.,1,과거시제,Expanded by AI,,0,0,2026-02-01
29,neighbor,neighbors,이웃,We are friendly with our neighbors.,우리는 이웃들과 친하게 지낸다.,1,명사,Expanded by AI,,0,0,2026-02-01
30,order,ordered,주문하다,I ordered pizza for dinner.,나는 저녁으로 피자를 주문했다.,1,과거시제,Expanded by AI,,0,0,2026-02-01
31,paint,painted,칠하다,They painted the wall blue.,그들은 벽을 파란색으로 칠했다.,1,5형식,Expanded by AI,,0,0,2026-02-01
32,plan,planning,계획하다,We are planning a surprise party.,우리는 깜짝 파티를 계획하고 있다.,1,현재진행형,Expanded by AI,,0,0,2026-02-01
33,popular,popular,인기 있는,The singer is very popular among teens.,그 가수는 십 대들 사이에서 매우 인기가 있다.,1,형용사,Expanded by AI,,0,0,2026-02-01
34,present,present,선물,He gave me a birthday present.,그는 나에게 생일 선물을 주었다.,1,명사,Expanded by AI,,0,0,2026-02-01
35,receive,received,받다,I received a letter from my friend.,나는 친구로부터 편지를 받았다.,1,과거시제,Expanded by AI,,0,0,2026-02-01
36,repeat,repeated,반복하다,He repeated the question slowly.,그는 질문을 천천히 반복했다.,1,과거시제,Expanded by AI,,0,0,2026-02-01
37,respect,respect,존경하다,Children should respect their parents.,아이들은 부모님을 존경해야 한다.,1,조동사,Expanded by AI,,0,0,2026-02-01
38,return,returned,돌아오다,She returned from her trip yesterday.,그녀는 어제 여행에서 돌아왔다.,1,과거시제,Expanded by AI,,0,0,2026-02-01
